# event_id; type; stop_id; line_id; line_direction; line_freq_repetition
305; "departure"; 8; 5; >; 1
306; "arrival"; 5; 5; >; 1
307; "departure"; 5; 5; >; 1
308; "arrival"; 32; 5; >; 1
309; "departure"; 32; 5; >; 1
310; "arrival"; 58; 5; >; 1
311; "departure"; 58; 5; >; 1
312; "arrival"; 15; 5; >; 1
313; "departure"; 15; 5; >; 1
314; "arrival"; 30; 5; >; 1
315; "departure"; 30; 5; >; 1
316; "arrival"; 11; 5; >; 1
317; "departure"; 11; 5; >; 1
318; "arrival"; 38; 5; >; 1
319; "departure"; 38; 5; >; 1
320; "arrival"; 31; 5; >; 1
321; "departure"; 31; 5; >; 1
322; "arrival"; 65; 5; >; 1
323; "departure"; 65; 5; >; 1
324; "arrival"; 20; 5; >; 1
325; "departure"; 20; 5; >; 1
326; "arrival"; 9; 5; >; 1
327; "departure"; 9; 5; >; 1
328; "arrival"; 6; 5; >; 1
329; "departure"; 6; 5; >; 1
330; "arrival"; 55; 5; >; 1
331; "departure"; 55; 5; >; 1
332; "arrival"; 48; 5; >; 1
333; "departure"; 48; 5; >; 1
334; "arrival"; 37; 5; >; 1
335; "departure"; 37; 5; >; 1
336; "arrival"; 23; 5; >; 1
337; "departure"; 23; 5; >; 1
338; "arrival"; 64; 5; >; 1
339; "departure"; 64; 5; >; 1
340; "arrival"; 49; 5; >; 1
341; "departure"; 49; 5; <; 1
342; "arrival"; 64; 5; <; 1
343; "departure"; 64; 5; <; 1
344; "arrival"; 23; 5; <; 1
345; "departure"; 23; 5; <; 1
346; "arrival"; 37; 5; <; 1
347; "departure"; 37; 5; <; 1
348; "arrival"; 48; 5; <; 1
349; "departure"; 48; 5; <; 1
350; "arrival"; 55; 5; <; 1
351; "departure"; 55; 5; <; 1
352; "arrival"; 6; 5; <; 1
353; "departure"; 6; 5; <; 1
354; "arrival"; 9; 5; <; 1
355; "departure"; 9; 5; <; 1
356; "arrival"; 20; 5; <; 1
357; "departure"; 20; 5; <; 1
358; "arrival"; 65; 5; <; 1
359; "departure"; 65; 5; <; 1
360; "arrival"; 31; 5; <; 1
361; "departure"; 31; 5; <; 1
362; "arrival"; 38; 5; <; 1
363; "departure"; 38; 5; <; 1
364; "arrival"; 11; 5; <; 1
365; "departure"; 11; 5; <; 1
366; "arrival"; 30; 5; <; 1
367; "departure"; 30; 5; <; 1
368; "arrival"; 15; 5; <; 1
369; "departure"; 15; 5; <; 1
370; "arrival"; 58; 5; <; 1
371; "departure"; 58; 5; <; 1
372; "arrival"; 32; 5; <; 1
373; "departure"; 32; 5; <; 1
374; "arrival"; 5; 5; <; 1
375; "departure"; 5; 5; <; 1
376; "arrival"; 8; 5; <; 1
377; "departure"; 8; 5; <; 1
378; "arrival"; 47; 5; <; 1
379; "departure"; 47; 5; <; 1
380; "arrival"; 19; 5; <; 1
381; "departure"; 19; 5; <; 1
382; "arrival"; 27; 5; <; 1
383; "departure"; 27; 5; <; 1
384; "arrival"; 7; 5; <; 1
385; "departure"; 17; 6; >; 1
386; "arrival"; 18; 6; >; 1
387; "departure"; 18; 6; >; 1
388; "arrival"; 60; 6; >; 1
389; "departure"; 60; 6; >; 1
390; "arrival"; 40; 6; >; 1
391; "departure"; 40; 6; >; 1
392; "arrival"; 16; 6; >; 1
393; "departure"; 16; 6; >; 1
394; "arrival"; 32; 6; >; 1
395; "departure"; 32; 6; >; 1
396; "arrival"; 58; 6; >; 1
397; "departure"; 58; 6; >; 1
398; "arrival"; 15; 6; >; 1
399; "departure"; 15; 6; >; 1
400; "arrival"; 30; 6; >; 1
401; "departure"; 30; 6; >; 1
402; "arrival"; 11; 6; >; 1
403; "departure"; 11; 6; >; 1
404; "arrival"; 54; 6; >; 1
405; "departure"; 54; 6; >; 1
406; "arrival"; 62; 6; >; 1
407; "departure"; 62; 6; >; 1
408; "arrival"; 12; 6; >; 1
409; "departure"; 12; 6; >; 1
410; "arrival"; 41; 6; >; 1
411; "departure"; 41; 6; >; 1
412; "arrival"; 4; 6; >; 1
413; "departure"; 4; 6; >; 1
414; "arrival"; 44; 6; >; 1
415; "departure"; 44; 6; >; 1
416; "arrival"; 10; 6; >; 1
417; "departure"; 10; 6; >; 1
418; "arrival"; 51; 6; >; 1
419; "departure"; 51; 6; >; 1
420; "arrival"; 68; 6; >; 1
421; "departure"; 68; 6; >; 1
422; "arrival"; 2; 6; >; 1
423; "departure"; 2; 6; <; 1
424; "arrival"; 68; 6; <; 1
425; "departure"; 68; 6; <; 1
426; "arrival"; 51; 6; <; 1
427; "departure"; 51; 6; <; 1
428; "arrival"; 10; 6; <; 1
429; "departure"; 10; 6; <; 1
430; "arrival"; 44; 6; <; 1
431; "departure"; 44; 6; <; 1
432; "arrival"; 4; 6; <; 1
433; "departure"; 4; 6; <; 1
434; "arrival"; 41; 6; <; 1
435; "departure"; 41; 6; <; 1
436; "arrival"; 12; 6; <; 1
437; "departure"; 12; 6; <; 1
438; "arrival"; 62; 6; <; 1
439; "departure"; 62; 6; <; 1
440; "arrival"; 54; 6; <; 1
441; "departure"; 54; 6; <; 1
442; "arrival"; 11; 6; <; 1
443; "departure"; 11; 6; <; 1
444; "arrival"; 30; 6; <; 1
445; "departure"; 30; 6; <; 1
446; "arrival"; 15; 6; <; 1
447; "departure"; 15; 6; <; 1
448; "arrival"; 58; 6; <; 1
449; "departure"; 58; 6; <; 1
450; "arrival"; 32; 6; <; 1
451; "departure"; 32; 6; <; 1
452; "arrival"; 16; 6; <; 1
453; "departure"; 16; 6; <; 1
454; "arrival"; 40; 6; <; 1
455; "departure"; 40; 6; <; 1
456; "arrival"; 60; 6; <; 1
457; "departure"; 60; 6; <; 1
458; "arrival"; 18; 6; <; 1
459; "departure"; 18; 6; <; 1
460; "arrival"; 17; 6; <; 1
461; "departure"; 5; 7; >; 1
462; "arrival"; 32; 7; >; 1
463; "departure"; 32; 7; >; 1
464; "arrival"; 58; 7; >; 1
465; "departure"; 58; 7; >; 1
466; "arrival"; 15; 7; >; 1
467; "departure"; 15; 7; >; 1
468; "arrival"; 30; 7; >; 1
469; "departure"; 30; 7; >; 1
470; "arrival"; 22; 7; >; 1
471; "departure"; 22; 7; >; 1
472; "arrival"; 63; 7; >; 1
473; "departure"; 63; 7; >; 1
474; "arrival"; 66; 7; >; 1
475; "departure"; 66; 7; >; 1
476; "arrival"; 29; 7; >; 1
477; "departure"; 29; 7; >; 1
478; "arrival"; 28; 7; >; 1
479; "departure"; 28; 7; >; 1
480; "arrival"; 24; 7; >; 1
481; "departure"; 24; 7; >; 1
482; "arrival"; 46; 7; >; 1
483; "departure"; 46; 7; >; 1
484; "arrival"; 43; 7; >; 1
485; "departure"; 43; 7; <; 1
486; "arrival"; 46; 7; <; 1
487; "departure"; 46; 7; <; 1
488; "arrival"; 24; 7; <; 1
489; "departure"; 24; 7; <; 1
490; "arrival"; 28; 7; <; 1
491; "departure"; 28; 7; <; 1
492; "arrival"; 29; 7; <; 1
493; "departure"; 29; 7; <; 1
494; "arrival"; 66; 7; <; 1
495; "departure"; 66; 7; <; 1
496; "arrival"; 63; 7; <; 1
497; "departure"; 63; 7; <; 1
498; "arrival"; 22; 7; <; 1
499; "departure"; 22; 7; <; 1
500; "arrival"; 30; 7; <; 1
501; "departure"; 30; 7; <; 1
502; "arrival"; 15; 7; <; 1
503; "departure"; 15; 7; <; 1
504; "arrival"; 58; 7; <; 1
505; "departure"; 58; 7; <; 1
506; "arrival"; 32; 7; <; 1
507; "departure"; 32; 7; <; 1
508; "arrival"; 5; 7; <; 1
