# origin; destination; customers
7; 111; 6
7; 112; 1
7; 113; 1
7; 115; 1
7; 117; 1
7; 118; 2
7; 121; 4
7; 122; 16
7; 123; 1
7; 124; 1
7; 125; 1
7; 126; 11
7; 127; 108
7; 128; 44
7; 129; 33
7; 132; 2
7; 133; 1
7; 134; 6
7; 135; 1
7; 136; 2
7; 138; 1
7; 139; 193
8; 1; 41
8; 2; 4
8; 3; 3
8; 4; 8
8; 5; 4
8; 6; 1
8; 7; 2
8; 9; 32
8; 10; 2
8; 11; 31
8; 12; 98
8; 13; 6
8; 14; 2
8; 15; 324
8; 16; 8
8; 17; 33
8; 18; 20
8; 19; 1
8; 20; 8
8; 21; 31
8; 22; 215
8; 23; 15
8; 24; 14
8; 25; 1
8; 29; 17
8; 30; 85
8; 31; 5
8; 32; 8
8; 33; 52
8; 34; 27
8; 35; 41
8; 36; 1
8; 37; 4
8; 38; 3
8; 39; 47
8; 40; 12
8; 41; 7
8; 42; 5
8; 43; 1
8; 44; 6
8; 46; 3
8; 47; 2
8; 48; 1
8; 50; 3
8; 51; 17
8; 52; 6
8; 53; 2
8; 54; 4
8; 56; 36
8; 58; 2
8; 59; 11
8; 60; 32
8; 61; 8
8; 62; 9
8; 63; 15
8; 64; 3
8; 65; 26
8; 66; 1
8; 67; 27
8; 70; 3
8; 71; 12
8; 72; 57
8; 73; 1663
8; 74; 1
8; 75; 5
8; 76; 12
8; 77; 3
8; 78; 3
8; 79; 3
8; 80; 3
8; 81; 23
8; 83; 10
8; 84; 5
8; 85; 88
8; 86; 1
8; 87; 53
8; 88; 1
8; 89; 107
8; 91; 5
8; 92; 15
8; 93; 2
8; 94; 3
8; 95; 14
8; 96; 112
8; 97; 1
8; 98; 31
8; 99; 29
8; 100; 3
8; 101; 260
8; 102; 14
8; 103; 10
8; 104; 22
8; 105; 2
8; 106; 11
8; 109; 5
8; 110; 74
8; 111; 4
8; 112; 6
8; 113; 78
8; 114; 3
8; 115; 50
8; 116; 3
8; 117; 99
8; 118; 22
8; 119; 8
8; 120; 2
8; 121; 25
8; 122; 6
8; 123; 4
8; 124; 32
8; 125; 5
8; 126; 21
8; 127; 22
8; 128; 28
8; 129; 151
8; 130; 7
8; 132; 149
8; 133; 18
8; 134; 53
8; 135; 11
8; 136; 870
8; 137; 6
8; 138; 98
8; 139; 1310
8; 140; 11
9; 1; 15
9; 8; 32
9; 11; 18
9; 12; 10
9; 13; 1
9; 15; 16
9; 17; 7
9; 20; 1
9; 21; 9
9; 22; 3
9; 23; 1
9; 30; 2
9; 32; 1
9; 33; 19
9; 34; 1
9; 35; 1
9; 38; 1
9; 39; 1
9; 40; 3
9; 41; 1
9; 42; 1
9; 44; 1
9; 56; 1
9; 59; 1
9; 62; 1
9; 63; 3
9; 65; 2
9; 67; 13
9; 72; 1
9; 73; 112
9; 81; 1
9; 84; 1
9; 85; 20
9; 89; 27
9; 92; 1
9; 95; 1
9; 96; 121
9; 98; 1
9; 99; 4
9; 101; 5
9; 102; 3
9; 106; 2
9; 110; 6
9; 114; 1
9; 115; 8
9; 117; 70
9; 118; 3
9; 121; 4
9; 122; 1
9; 124; 1
9; 126; 3
9; 127; 3
9; 128; 5
9; 129; 47
9; 132; 80
9; 133; 1
9; 134; 4
9; 136; 4476
9; 138; 13
9; 139; 154
10; 1; 2
10; 5; 3
10; 7; 1
10; 8; 2
10; 11; 2
10; 12; 7
10; 13; 1
10; 14; 1
10; 15; 13
10; 18; 2
10; 20; 1
10; 21; 1
10; 22; 1
10; 23; 26
10; 29; 1
10; 30; 124
10; 35; 1
10; 37; 1
10; 38; 1
10; 39; 1
10; 40; 2
10; 41; 1
10; 47; 1
10; 52; 3
10; 53; 1
10; 56; 1
10; 59; 2
10; 62; 586
10; 63; 1
10; 65; 3
10; 67; 1
10; 71; 1
10; 72; 2
10; 73; 14
10; 81; 1
10; 85; 4
10; 87; 2
10; 89; 3
10; 90; 2
10; 92; 4
10; 94; 3
10; 96; 1
10; 97; 1
10; 98; 544
10; 99; 3
10; 101; 1
10; 102; 1
10; 104; 1
10; 106; 1
10; 110; 34
10; 111; 2
10; 112; 1
10; 113; 1
10; 115; 1
10; 118; 3
10; 119; 2
10; 121; 3
10; 122; 2
10; 123; 1
10; 124; 1
10; 125; 7
10; 126; 5
10; 127; 5
10; 128; 5
10; 129; 10
10; 132; 2
10; 133; 1
10; 134; 12
10; 136; 2
10; 139; 11
11; 1; 537
11; 2; 9
11; 3; 2
11; 4; 1
11; 5; 8
11; 6; 1
11; 7; 3
11; 8; 31
11; 9; 18
11; 10; 2
11; 12; 716
11; 13; 7
11; 14; 3
11; 15; 789
11; 16; 8
11; 17; 8
11; 18; 38
11; 19; 1
11; 20; 6
11; 21; 2609
11; 22; 9
11; 23; 22
11; 24; 22
11; 25; 1
11; 29; 24
11; 30; 100
11; 31; 1
11; 32; 34
11; 33; 1140
11; 34; 10
11; 35; 13
11; 36; 1
11; 37; 5
11; 38; 5
11; 39; 8
11; 40; 59
11; 41; 10
11; 42; 104
11; 43; 15
11; 44; 8
11; 45; 1
11; 46; 2
11; 47; 6
11; 50; 6
11; 51; 10
11; 52; 13
11; 53; 3
11; 54; 8
11; 56; 46
11; 58; 2
11; 59; 44
11; 60; 4
11; 61; 24
11; 62; 6
11; 63; 62
11; 64; 10
11; 65; 60
11; 66; 1
11; 67; 756
11; 70; 1
11; 71; 60
11; 72; 74
11; 73; 639
11; 75; 9
11; 76; 23
11; 77; 1
11; 78; 4
11; 79; 4
11; 80; 10
11; 81; 67
11; 83; 25
11; 84; 13
11; 85; 683
11; 86; 1
11; 87; 37
11; 88; 1
11; 89; 49
11; 91; 35
11; 92; 42
11; 93; 5
11; 94; 3
11; 95; 2
11; 96; 37
11; 97; 1
11; 98; 39
11; 99; 335
11; 100; 3
11; 101; 6
11; 102; 10
11; 103; 17
11; 104; 38
11; 105; 20
11; 106; 24
11; 109; 10
11; 110; 168
11; 111; 2
11; 112; 8
11; 113; 10
11; 114; 51
11; 115; 126
11; 116; 4
11; 117; 43
11; 118; 22
11; 119; 8
11; 120; 2
11; 121; 28
11; 122; 8
11; 123; 5
11; 124; 44
11; 125; 7
11; 126; 35
11; 127; 78
11; 128; 84
11; 129; 781
11; 130; 2
11; 131; 1
11; 132; 72
11; 133; 46
11; 134; 48
11; 135; 48
11; 136; 187
11; 137; 80
11; 138; 773
11; 139; 6132
11; 140; 122
12; 1; 1685
12; 2; 35
12; 3; 4
12; 4; 2
12; 5; 9
12; 6; 1
12; 7; 11
12; 8; 98
12; 9; 10
12; 10; 7
12; 11; 716
12; 13; 28
12; 14; 5
12; 15; 3971
12; 16; 15
12; 17; 17
12; 18; 1087
12; 19; 1
12; 20; 104
12; 21; 625
12; 22; 18
12; 23; 27
12; 24; 363
12; 25; 3
12; 26; 2
12; 28; 7
12; 29; 53
12; 30; 143
12; 31; 4
12; 32; 729
12; 33; 335
12; 34; 16
12; 35; 17
12; 36; 2
12; 37; 8
12; 38; 16
12; 39; 10
12; 40; 69
12; 41; 254
12; 42; 318
12; 43; 692
12; 44; 117
12; 45; 4
12; 46; 7
12; 47; 32
12; 50; 190
12; 51; 16
12; 52; 16
12; 53; 19
12; 54; 154
12; 56; 124
12; 58; 50
12; 59; 42
12; 60; 20
12; 61; 173
12; 62; 46
12; 63; 491
12; 64; 1529
12; 65; 6766
12; 66; 1
12; 67; 687
12; 68; 6
12; 69; 10
12; 70; 14
12; 71; 4992
12; 72; 158
12; 73; 924
12; 75; 231
12; 76; 79
12; 77; 1
12; 78; 52
12; 79; 48
12; 80; 192
12; 81; 435
12; 82; 1
12; 83; 108
12; 84; 366
12; 85; 4506
12; 86; 17
12; 87; 101
12; 88; 2
12; 89; 132
12; 90; 3
12; 91; 2420
12; 92; 45
12; 93; 23
12; 94; 16
12; 95; 3
12; 96; 162
12; 97; 12
12; 98; 49
12; 99; 190
12; 100; 7
12; 101; 19
12; 102; 18
12; 103; 52
12; 104; 127
12; 105; 1355
12; 106; 709
12; 109; 38
12; 110; 175
12; 111; 10
12; 112; 14
12; 113; 46
12; 114; 295
12; 115; 245
12; 116; 7
12; 117; 185
12; 118; 406
12; 119; 12
12; 120; 3
12; 121; 40
12; 122; 24
12; 123; 77
12; 124; 120
12; 125; 7
12; 126; 35
12; 127; 72
12; 128; 95
12; 129; 849
12; 130; 3
12; 131; 23
12; 132; 141
12; 133; 243
12; 134; 45
12; 135; 161
12; 136; 400
12; 137; 540
12; 138; 544
12; 139; 11030
12; 140; 25
13; 1; 8
13; 2; 4
13; 3; 5
13; 4; 1
13; 5; 2
13; 6; 2
13; 7; 1
13; 8; 6
13; 9; 1
13; 10; 1
13; 11; 7
13; 12; 28
13; 14; 5
13; 15; 126
13; 16; 205
13; 17; 1
13; 18; 12
13; 19; 9
13; 20; 47
13; 21; 4
13; 22; 1
13; 23; 7
13; 24; 4
13; 25; 144
13; 26; 424
13; 29; 242
13; 30; 88
13; 32; 3
13; 33; 5
13; 34; 3
13; 35; 6
13; 36; 5
13; 37; 8
13; 38; 1
13; 39; 2
13; 40; 2
13; 41; 12
13; 42; 1
13; 43; 1
13; 44; 6
13; 46; 3575
13; 47; 2
13; 50; 1
13; 51; 10
13; 52; 3
13; 53; 1
13; 54; 1
13; 56; 16
13; 58; 1
13; 59; 3
13; 60; 1
13; 61; 4
13; 62; 21
13; 63; 3
13; 64; 2
13; 65; 21
13; 66; 4
13; 67; 5
13; 70; 4
13; 71; 3
13; 72; 1985
13; 73; 53
13; 75; 2
13; 76; 14
13; 78; 4
13; 79; 2
13; 80; 1
13; 81; 12
13; 83; 10
13; 84; 1
13; 85; 15
13; 86; 1
13; 87; 6
13; 88; 3
13; 89; 7
13; 90; 2
13; 91; 1
13; 92; 5
13; 93; 1
13; 94; 2
13; 96; 6
13; 97; 14
13; 98; 17
13; 99; 6
13; 101; 1
13; 102; 1
13; 103; 12
13; 104; 25
13; 105; 1
13; 106; 4
13; 109; 6
13; 110; 25
13; 111; 2
13; 112; 18
13; 113; 4
13; 114; 1
13; 115; 5
13; 116; 183
13; 117; 5
13; 118; 31
13; 119; 13
13; 120; 3
13; 121; 3
13; 122; 1
13; 123; 5
13; 124; 46
13; 125; 2
13; 126; 4
13; 127; 6
13; 128; 6
13; 129; 22
13; 132; 6
13; 133; 12
13; 134; 9
13; 135; 2
13; 136; 15
13; 137; 10
13; 138; 11
13; 139; 653
13; 140; 1
14; 1; 3
14; 5; 1
14; 8; 2
14; 10; 1
14; 11; 3
14; 12; 5
14; 13; 5
14; 15; 10
14; 16; 1
14; 20; 1
14; 21; 2
14; 22; 1
14; 23; 2
14; 29; 2
14; 30; 45
14; 33; 2
14; 37; 42
14; 38; 1
14; 40; 1
14; 41; 1
14; 44; 1
14; 52; 1
14; 56; 1
14; 59; 1
14; 62; 14
14; 63; 1
14; 65; 3
14; 67; 2
14; 72; 5
14; 73; 11
14; 81; 1
14; 85; 5
14; 87; 3
14; 88; 24
14; 89; 4
14; 92; 2
14; 94; 1
14; 96; 2
14; 97; 22
14; 98; 7
14; 99; 2
14; 101; 1
14; 102; 1
14; 104; 1
14; 106; 1
14; 110; 9
14; 111; 1
14; 112; 19
14; 115; 1
14; 117; 2
14; 118; 2
14; 119; 5
14; 120; 4
14; 121; 2
14; 122; 1
14; 124; 1
14; 125; 1
14; 126; 2
14; 127; 2
14; 128; 3
14; 129; 11
14; 132; 3
14; 133; 1
14; 134; 3
14; 136; 6
14; 138; 5
14; 139; 49
15; 1; 1597
15; 2; 220
15; 3; 13
15; 4; 10
15; 5; 16
15; 6; 4
15; 7; 21
15; 8; 324
15; 9; 16
15; 10; 13
15; 11; 789
15; 12; 3971
15; 13; 126
15; 14; 10
15; 16; 44
15; 17; 45
15; 18; 13661
15; 19; 4
15; 20; 566
15; 21; 579
15; 22; 61
15; 23; 44
15; 24; 5694
15; 25; 14
15; 26; 8
15; 27; 1
15; 28; 44
15; 29; 158
15; 30; 287
15; 31; 20
15; 32; 598
15; 33; 487
15; 34; 55
15; 35; 47
15; 36; 6
15; 37; 18
15; 38; 33
15; 39; 36
15; 40; 115
15; 41; 5038
15; 42; 165
15; 43; 214
15; 44; 694
15; 45; 16
15; 46; 20
15; 47; 69
15; 48; 2
15; 50; 1357
15; 51; 52
15; 52; 24
15; 53; 42
15; 54; 665
15; 56; 1155
15; 58; 1283
15; 59; 57
15; 60; 66
15; 61; 764
15; 62; 87
15; 63; 1394
15; 64; 390
15; 65; 2723
15; 66; 3
15; 67; 796
15; 68; 37
15; 69; 59
15; 70; 95
15; 71; 828
15; 72; 483
15; 73; 3536
15; 74; 1
15; 75; 2337
15; 76; 416
15; 77; 2
15; 78; 551
15; 79; 239
15; 80; 449
15; 81; 3352
15; 82; 2
15; 83; 440
15; 84; 538
15; 85; 4138
15; 86; 181
15; 87; 247
15; 88; 5
15; 89; 314
15; 90; 6
15; 91; 311
15; 92; 70
15; 93; 203
15; 94; 30
15; 95; 9
15; 96; 460
15; 97; 27
15; 98; 88
15; 99; 232
15; 100; 16
15; 101; 63
15; 102; 45
15; 103; 351
15; 104; 801
15; 105; 353
15; 106; 3439
15; 109; 216
15; 110; 328
15; 111; 15
15; 112; 31
15; 113; 203
15; 114; 106
15; 115; 728
15; 116; 23
15; 117; 373
15; 118; 8685
15; 119; 28
15; 120; 6
15; 121; 96
15; 122; 49
15; 123; 787
15; 124; 688
15; 125; 13
15; 126; 78
15; 127; 131
15; 128; 183
15; 129; 1348
15; 130; 15
15; 131; 272
15; 132; 328
15; 133; 1384
15; 134; 106
15; 135; 160
15; 136; 1038
15; 137; 866
15; 138; 827
15; 139; 12476
15; 140; 26
16; 1; 10
16; 2; 1
16; 3; 1
16; 5; 1
16; 6; 1
16; 8; 8
16; 11; 8
16; 12; 15
16; 13; 205
16; 14; 1
16; 15; 44
16; 17; 1
16; 18; 2
16; 19; 17
16; 20; 11
16; 21; 5
16; 22; 2
16; 23; 2
16; 24; 1
16; 25; 14
16; 26; 2
16; 29; 13
16; 30; 20
16; 32; 1
16; 33; 6
16; 34; 2
16; 35; 3
16; 36; 2
16; 37; 1
16; 38; 1
16; 39; 2
16; 40; 3
16; 41; 4
16; 42; 1
16; 44; 6
16; 46; 10
16; 51; 3
16; 52; 1
16; 56; 5
16; 59; 1
16; 61; 1
16; 62; 8
16; 63; 3
16; 65; 12
16; 66; 2
16; 67; 6
16; 70; 1
16; 72; 73
16; 73; 44
16; 76; 2
16; 80; 1
16; 81; 4
16; 83; 2
16; 84; 1
16; 85; 17
16; 89; 9
16; 92; 2
16; 94; 1
16; 96; 7
16; 97; 2
16; 98; 7
16; 99; 4
16; 101; 2
16; 102; 2
16; 103; 2
16; 104; 3
16; 106; 3
16; 109; 1
16; 110; 13
16; 111; 1
16; 112; 3
16; 113; 1
16; 114; 1
16; 115; 4
16; 116; 13
16; 117; 7
16; 118; 11
16; 119; 3
16; 120; 1
16; 121; 4
16; 122; 2
16; 123; 1
16; 124; 11
16; 125; 1
16; 126; 3
16; 127; 4
16; 128; 5
16; 129; 25
16; 132; 8
16; 133; 2
16; 134; 5
16; 136; 19
16; 138; 13
16; 139; 130
17; 1; 7
17; 2; 1
17; 4; 1
17; 5; 1
17; 8; 33
17; 9; 7
17; 11; 8
17; 12; 17
17; 13; 1
17; 15; 45
17; 16; 1
17; 18; 2
17; 20; 4
17; 21; 4
17; 22; 6
17; 23; 5
17; 24; 1
17; 29; 3
17; 30; 20
17; 32; 1
17; 33; 8
17; 34; 2
17; 35; 4
17; 37; 1
17; 38; 1
17; 39; 3
17; 40; 4
17; 41; 3
17; 42; 1
17; 44; 1
17; 47; 1
17; 51; 2
17; 52; 2
17; 53; 1
17; 56; 4
17; 59; 4
17; 60; 1
17; 61; 1
17; 62; 7
17; 63; 2
17; 65; 4
17; 67; 5
17; 71; 1
17; 72; 10
17; 73; 95
17; 75; 1
17; 76; 2
17; 81; 4
17; 83; 2
17; 84; 1
17; 85; 13
17; 87; 136
17; 89; 102
17; 91; 1
17; 92; 5
17; 94; 2
17; 95; 7
17; 96; 17
17; 97; 1
17; 98; 9
17; 99; 8
17; 100; 2
17; 101; 9
17; 102; 12
17; 103; 1
17; 104; 3
17; 106; 2
17; 109; 1
17; 110; 25
17; 111; 1
17; 112; 1
17; 113; 2
17; 114; 1
17; 115; 6
17; 117; 25
17; 118; 9
17; 119; 2
17; 121; 16
17; 122; 2
17; 124; 5
17; 125; 2
17; 126; 10
17; 127; 7
17; 128; 11
17; 129; 39
17; 132; 121
17; 133; 3
17; 134; 25
17; 135; 1
17; 136; 89
17; 137; 2
17; 138; 21
17; 139; 285
17; 140; 3
18; 1; 95
18; 2; 41
18; 3; 1
18; 4; 1
18; 5; 2
18; 7; 2
18; 8; 20
18; 10; 2
18; 11; 38
18; 12; 1087
18; 13; 12
18; 15; 13661
18; 16; 2
18; 17; 2
18; 20; 31
18; 21; 30
18; 22; 4
18; 23; 4
18; 24; 439
18; 25; 1
18; 28; 9
18; 29; 3
18; 30; 61
18; 31; 1
18; 32; 271
18; 33; 7
18; 34; 4
18; 35; 4
18; 37; 1
18; 38; 2
18; 39; 3
18; 40; 10
18; 41; 346
18; 42; 15
18; 43; 7
18; 44; 84
18; 45; 4
18; 46; 4
18; 47; 2
18; 50; 459
18; 51; 3
18; 52; 3
18; 53; 1
18; 54; 52
18; 56; 50
18; 58; 299
18; 59; 7
18; 60; 1
18; 61; 480
18; 62; 9
18; 63; 119
18; 64; 99
18; 65; 346
18; 67; 40
18; 68; 16
18; 69; 29
18; 70; 5
18; 71; 92
18; 72; 12
18; 73; 308
18; 75; 2685
18; 76; 15
18; 78; 51
18; 79; 53
18; 80; 210
18; 81; 1686
18; 83; 32
18; 84; 57
18; 85; 556
18; 86; 18
18; 87; 9
18; 89; 11
18; 91; 32
18; 92; 14
18; 93; 18
18; 94; 3
18; 95; 1
18; 96; 10
18; 97; 1
18; 98; 19
18; 99; 30
18; 100; 1
18; 101; 4
18; 102; 3
18; 103; 15
18; 104; 27
18; 105; 12
18; 106; 576
18; 109; 12
18; 110; 57
18; 111; 2
18; 112; 7
18; 113; 15
18; 114; 12
18; 115; 60
18; 116; 1
18; 117; 5
18; 118; 286
18; 119; 1
18; 121; 8
18; 122; 4
18; 123; 76
18; 124; 38
18; 125; 1
18; 126; 9
18; 127; 16
18; 128; 19
18; 129; 78
18; 130; 1
18; 131; 7
18; 132; 12
18; 133; 114
18; 134; 11
18; 135; 39
18; 136; 104
18; 137; 3
18; 138; 5
18; 139; 950
18; 140; 6
19; 8; 1
19; 11; 1
19; 12; 1
19; 13; 9
19; 15; 4
19; 16; 17
19; 20; 1
19; 25; 1
19; 29; 1
19; 30; 1
19; 46; 1
19; 65; 1
19; 72; 5
19; 73; 4
19; 85; 1
19; 89; 1
19; 110; 1
19; 116; 1
19; 117; 1
19; 124; 1
19; 129; 2
19; 132; 1
19; 136; 2
19; 138; 1
19; 139; 10
20; 1; 10
20; 2; 23
20; 3; 4
20; 4; 1
20; 5; 1
20; 6; 1
20; 7; 1
20; 8; 8
20; 9; 1
20; 10; 1
20; 11; 6
20; 12; 104
20; 13; 47
20; 14; 1
20; 15; 566
20; 16; 11
20; 17; 4
20; 18; 31
20; 19; 1
20; 21; 26
20; 22; 3
20; 23; 4
20; 24; 22
20; 25; 6
20; 26; 1
20; 28; 1
20; 29; 42
20; 30; 35
20; 32; 9
20; 33; 1
20; 34; 8
20; 35; 7
20; 36; 2
20; 37; 2
20; 38; 1
20; 39; 5
20; 40; 9
20; 41; 44
20; 42; 6
20; 44; 63
20; 45; 1
20; 46; 5
20; 47; 1
20; 50; 2
20; 51; 10
20; 52; 3
20; 54; 2
20; 56; 115
20; 58; 4
20; 59; 5
20; 61; 12
20; 62; 10
20; 63; 7
20; 64; 4
20; 65; 164
20; 66; 1
20; 67; 5
20; 69; 1
20; 70; 52
20; 71; 5
20; 72; 145
