# activity_index; type; from_event; to_event; lower_bound; upper_bound
65; "wait"; 74; 75; 2; 8
66; "drive"; 75; 76; 18; 18
67; "wait"; 76; 77; 2; 5
68; "drive"; 77; 78; 8; 8
69; "wait"; 78; 79; 2; 5
70; "drive"; 79; 80; 26; 26
71; "wait"; 80; 81; 2; 5
72; "drive"; 81; 82; 8; 8
73; "drive"; 83; 84; 10; 10
74; "wait"; 84; 85; 1; 5
75; "drive"; 85; 86; 18; 18
76; "wait"; 86; 87; 2; 5
77; "drive"; 87; 88; 27; 27
78; "wait"; 88; 89; 2; 8
79; "drive"; 89; 90; 19; 19
80; "wait"; 90; 91; 1; 5
81; "drive"; 91; 92; 9; 9
82; "wait"; 92; 93; 1; 5
83; "drive"; 93; 94; 17; 17
84; "wait"; 94; 95; 2; 5
85; "drive"; 95; 96; 5; 5
86; "drive"; 97; 98; 10; 10
87; "wait"; 98; 99; 1; 5
88; "drive"; 99; 100; 18; 18
89; "wait"; 100; 101; 2; 5
90; "drive"; 101; 102; 27; 27
91; "wait"; 102; 103; 2; 8
92; "drive"; 103; 104; 19; 19
93; "wait"; 104; 105; 1; 5
94; "drive"; 105; 106; 9; 9
95; "wait"; 106; 107; 1; 5
96; "drive"; 107; 108; 17; 17
97; "wait"; 108; 109; 2; 5
98; "drive"; 109; 110; 5; 5
99; "drive"; 111; 112; 27; 27
100; "wait"; 112; 113; 2; 5
101; "drive"; 113; 114; 28; 28
102; "wait"; 114; 115; 2; 8
103; "drive"; 115; 116; 18; 18
104; "wait"; 116; 117; 2; 5
105; "drive"; 117; 118; 9; 9
106; "wait"; 118; 119; 1; 5
107; "drive"; 119; 120; 18; 18
108; "wait"; 120; 121; 1; 5
109; "drive"; 121; 122; 5; 5
110; "drive"; 123; 124; 25; 25
111; "wait"; 124; 125; 2; 5
112; "drive"; 125; 126; 35; 35
113; "wait"; 126; 127; 2; 13
114; "drive"; 127; 128; 27; 27
115; "wait"; 128; 129; 2; 5
116; "drive"; 129; 130; 19; 19
117; "wait"; 130; 131; 0; 5
118; "drive"; 131; 132; 34; 34
119; "wait"; 132; 133; 2; 5
120; "drive"; 133; 134; 14; 14
121; "drive"; 135; 136; 10; 10
122; "wait"; 136; 137; 1; 5
123; "drive"; 137; 138; 5; 5
124; "wait"; 138; 139; 1; 5
125; "drive"; 139; 140; 3; 3
126; "wait"; 140; 141; 1; 5
127; "drive"; 141; 142; 11; 11
128; "wait"; 142; 143; 1; 5
129; "drive"; 143; 144; 7; 7
130; "wait"; 144; 145; 2; 5
131; "drive"; 145; 146; 13; 13
132; "wait"; 146; 147; 1; 5
133; "drive"; 147; 148; 18; 18
134; "drive"; 149; 150; 10; 10
135; "wait"; 150; 151; 1; 5
136; "drive"; 151; 152; 5; 5
137; "wait"; 152; 153; 1; 5
138; "drive"; 153; 154; 3; 3
139; "wait"; 154; 155; 1; 5
140; "drive"; 155; 156; 11; 11
141; "wait"; 156; 157; 1; 5
142; "drive"; 157; 158; 7; 7
143; "wait"; 158; 159; 2; 5
144; "drive"; 159; 160; 13; 13
145; "wait"; 160; 161; 1; 5
146; "drive"; 161; 162; 18; 18
147; "drive"; 163; 164; 25; 25
148; "wait"; 164; 165; 2; 5
149; "drive"; 165; 166; 35; 35
150; "wait"; 166; 167; 2; 13
151; "drive"; 167; 168; 27; 27
152; "wait"; 168; 169; 2; 9
153; "drive"; 169; 170; 7; 7
154; "wait"; 170; 171; 1; 5
155; "drive"; 171; 172; 3; 3
156; "wait"; 172; 173; 1; 5
157; "drive"; 173; 174; 8; 8
158; "wait"; 174; 175; 1; 5
159; "drive"; 175; 176; 2; 2
160; "wait"; 176; 177; 1; 5
161; "drive"; 177; 178; 6; 6
162; "wait"; 178; 179; 1; 5
163; "drive"; 179; 180; 25; 25
164; "wait"; 180; 181; 1; 5
165; "drive"; 181; 182; 10; 10
166; "wait"; 182; 183; 1; 5
167; "drive"; 183; 184; 7; 7
168; "wait"; 184; 185; 0; 5
169; "drive"; 185; 186; 11; 11
170; "wait"; 186; 187; 1; 5
171; "drive"; 187; 188; 6; 6
172; "wait"; 188; 189; 0; 5
173; "drive"; 189; 190; 12; 12
174; "wait"; 190; 191; 0; 5
175; "drive"; 191; 192; 5; 5
176; "wait"; 192; 193; 1; 5
177; "drive"; 193; 194; 10; 10
178; "wait"; 194; 195; 0; 5
179; "drive"; 195; 196; 5; 5
180; "wait"; 196; 197; 2; 5
181; "drive"; 197; 198; 3; 3
182; "wait"; 198; 199; 1; 5
183; "drive"; 199; 200; 4; 4
184; "wait"; 200; 201; 0; 5
185; "drive"; 201; 202; 12; 12
186; "drive"; 203; 204; 12; 12
187; "wait"; 204; 205; 1; 5
188; "drive"; 205; 206; 12; 12
189; "wait"; 206; 207; 1; 5
190; "drive"; 207; 208; 16; 16
191; "wait"; 208; 209; 1; 5
192; "drive"; 209; 210; 7; 7
193; "wait"; 210; 211; 2; 5
194; "drive"; 211; 212; 7; 7
195; "wait"; 212; 213; 1; 5
196; "drive"; 213; 214; 6; 6
197; "wait"; 214; 215; 1; 5
198; "drive"; 215; 216; 5; 5
199; "wait"; 216; 217; 2; 5
200; "drive"; 217; 218; 5; 5
201; "wait"; 218; 219; 1; 5
202; "drive"; 219; 220; 6; 6
203; "drive"; 221; 222; 12; 12
204; "wait"; 222; 223; 1; 5
205; "drive"; 223; 224; 12; 12
206; "wait"; 224; 225; 1; 5
207; "drive"; 225; 226; 16; 16
208; "wait"; 226; 227; 1; 5
209; "drive"; 227; 228; 7; 7
210; "wait"; 228; 229; 2; 5
211; "drive"; 229; 230; 7; 7
212; "wait"; 230; 231; 1; 5
213; "drive"; 231; 232; 6; 6
214; "wait"; 232; 233; 1; 5
215; "drive"; 233; 234; 5; 5
216; "wait"; 234; 235; 2; 5
217; "drive"; 235; 236; 5; 5
218; "wait"; 236; 237; 1; 5
219; "drive"; 237; 238; 6; 6
220; "drive"; 239; 240; 13; 13
221; "wait"; 240; 241; 1; 5
222; "drive"; 241; 242; 9; 9
223; "wait"; 242; 243; 1; 5
224; "drive"; 243; 244; 6; 6
225; "wait"; 244; 245; 1; 5
226; "drive"; 245; 246; 15; 15
227; "wait"; 246; 247; 2; 5
228; "drive"; 247; 248; 7; 7
229; "wait"; 248; 249; 1; 5
230; "drive"; 249; 250; 16; 16
231; "drive"; 251; 252; 13; 13
232; "wait"; 252; 253; 1; 5
233; "drive"; 253; 254; 9; 9
234; "wait"; 254; 255; 1; 5
235; "drive"; 255; 256; 6; 6
236; "wait"; 256; 257; 1; 5
237; "drive"; 257; 258; 15; 15
238; "wait"; 258; 259; 2; 5
239; "drive"; 259; 260; 7; 7
240; "wait"; 260; 261; 1; 5
241; "drive"; 261; 262; 16; 16
242; "drive"; 263; 264; 10; 10
243; "wait"; 264; 265; 1; 5
244; "drive"; 265; 266; 7; 7
245; "wait"; 266; 267; 0; 5
246; "drive"; 267; 268; 19; 19
247; "wait"; 268; 269; 2; 5
248; "drive"; 269; 270; 7; 7
249; "wait"; 270; 271; 0; 5
250; "drive"; 271; 272; 22; 22
251; "drive"; 273; 274; 10; 10
252; "wait"; 274; 275; 1; 5
253; "drive"; 275; 276; 7; 7
254; "wait"; 276; 277; 0; 5
255; "drive"; 277; 278; 19; 19
256; "wait"; 278; 279; 2; 5
257; "drive"; 279; 280; 7; 7
258; "wait"; 280; 281; 0; 5
259; "drive"; 281; 282; 22; 22
260; "drive"; 283; 284; 53; 54
261; "drive"; 285; 286; 53; 54
262; "drive"; 287; 288; 53; 54
263; "drive"; 289; 290; 53; 54
264; "drive"; 291; 292; 16; 16
265; "wait"; 292; 293; 2; 5
266; "drive"; 293; 294; 8; 8
267; "drive"; 295; 296; 16; 16
268; "wait"; 296; 297; 2; 5
269; "drive"; 297; 298; 8; 8
270; "drive"; 299; 300; 16; 16
271; "wait"; 300; 301; 2; 5
272; "drive"; 301; 302; 8; 8
273; "drive"; 303; 304; 16; 16
274; "wait"; 304; 305; 2; 5
275; "drive"; 305; 306; 8; 8
276; "drive"; 307; 308; 14; 14
277; "wait"; 308; 309; 1; 5
278; "drive"; 309; 310; 11; 11
279; "wait"; 310; 311; 1; 5
280; "drive"; 311; 312; 5; 5
281; "wait"; 312; 313; 2; 5
282; "drive"; 313; 314; 12; 12
283; "wait"; 314; 315; 2; 6
284; "drive"; 315; 316; 30; 30
285; "wait"; 316; 317; 0; 5
286; "drive"; 317; 318; 6; 6
287; "wait"; 318; 319; 2; 6
288; "drive"; 319; 320; 9; 9
289; "wait"; 320; 321; 0; 5
290; "drive"; 321; 322; 10; 10
291; "wait"; 322; 323; 0; 5
292; "drive"; 323; 324; 7; 7
293; "wait"; 324; 325; 2; 5
294; "drive"; 325; 326; 7; 7
295; "wait"; 326; 327; 0; 5
296; "drive"; 327; 328; 10; 10
297; "wait"; 328; 329; 2; 5
298; "drive"; 329; 330; 14; 14
299; "wait"; 330; 331; 0; 5
300; "drive"; 331; 332; 9; 9
301; "wait"; 332; 333; 0; 5
302; "drive"; 333; 334; 4; 4
303; "wait"; 334; 335; 1; 5
304; "drive"; 335; 336; 5; 5
305; "wait"; 336; 337; 1; 5
306; "drive"; 337; 338; 9; 9
307; "drive"; 339; 340; 14; 14
308; "wait"; 340; 341; 1; 5
309; "drive"; 341; 342; 11; 11
310; "wait"; 342; 343; 1; 5
311; "drive"; 343; 344; 5; 5
312; "wait"; 344; 345; 2; 5
313; "drive"; 345; 346; 12; 12
314; "wait"; 346; 347; 2; 6
315; "drive"; 347; 348; 30; 30
316; "wait"; 348; 349; 0; 5
317; "drive"; 349; 350; 6; 6
318; "wait"; 350; 351; 2; 6
319; "drive"; 351; 352; 9; 9
320; "wait"; 352; 353; 0; 5
321; "drive"; 353; 354; 10; 10
322; "wait"; 354; 355; 0; 5
323; "drive"; 355; 356; 7; 7
324; "wait"; 356; 357; 2; 5
325; "drive"; 357; 358; 7; 7
326; "wait"; 358; 359; 0; 5
327; "drive"; 359; 360; 10; 10
328; "wait"; 360; 361; 2; 5
329; "drive"; 361; 362; 14; 14
330; "wait"; 362; 363; 0; 5
331; "drive"; 363; 364; 9; 9
332; "wait"; 364; 365; 0; 5
333; "drive"; 365; 366; 4; 4
334; "wait"; 366; 367; 1; 5
335; "drive"; 367; 368; 5; 5
336; "wait"; 368; 369; 1; 5
337; "drive"; 369; 370; 9; 9
338; "drive"; 371; 372; 17; 17
339; "wait"; 372; 373; 1; 5
340; "drive"; 373; 374; 5; 5
341; "wait"; 374; 375; 1; 5
342; "drive"; 375; 376; 10; 10
343; "wait"; 376; 377; 2; 5
344; "drive"; 377; 378; 8; 8
345; "wait"; 378; 379; 2; 5
346; "drive"; 379; 380; 5; 5
347; "wait"; 380; 381; 1; 5
348; "drive"; 381; 382; 3; 3
349; "wait"; 382; 383; 1; 5
350; "drive"; 383; 384; 8; 8
351; "drive"; 385; 386; 17; 17
352; "wait"; 386; 387; 1; 5
353; "drive"; 387; 388; 5; 5
354; "wait"; 388; 389; 1; 5
355; "drive"; 389; 390; 10; 10
356; "wait"; 390; 391; 2; 5
357; "drive"; 391; 392; 8; 8
358; "wait"; 392; 393; 2; 5
359; "drive"; 393; 394; 5; 5
360; "wait"; 394; 395; 1; 5
361; "drive"; 395; 396; 3; 3
362; "wait"; 396; 397; 1; 5
363; "drive"; 397; 398; 8; 8
364; "drive"; 399; 400; 13; 13
365; "wait"; 400; 401; 1; 5
366; "drive"; 401; 402; 6; 6
367; "wait"; 402; 403; 0; 5
368; "drive"; 403; 404; 7; 7
369; "wait"; 404; 405; 1; 5
370; "drive"; 405; 406; 5; 5
371; "wait"; 406; 407; 1; 5
372; "drive"; 407; 408; 13; 13
373; "drive"; 409; 410; 13; 13
374; "wait"; 410; 411; 1; 5
375; "drive"; 411; 412; 6; 6
376; "wait"; 412; 413; 0; 5
377; "drive"; 413; 414; 7; 7
378; "wait"; 414; 415; 1; 5
379; "drive"; 415; 416; 5; 5
380; "wait"; 416; 417; 1; 5
381; "drive"; 417; 418; 13; 13
382; "drive"; 419; 420; 27; 27
383; "wait"; 420; 421; 2; 5
384; "drive"; 421; 422; 9; 9
385; "wait"; 422; 423; 2; 5
386; "drive"; 423; 424; 14; 14
387; "wait"; 424; 425; 2; 5
388; "drive"; 425; 426; 7; 7
389; "wait"; 426; 427; 1; 5
390; "drive"; 427; 428; 16; 16
391; "drive"; 429; 430; 27; 27
392; "wait"; 430; 431; 2; 5
393; "drive"; 431; 432; 9; 9
394; "wait"; 432; 433; 2; 5
395; "drive"; 433; 434; 14; 14
396; "wait"; 434; 435; 2; 5
397; "drive"; 435; 436; 7; 7
398; "wait"; 436; 437; 1; 5
399; "drive"; 437; 438; 16; 16
400; "drive"; 439; 440; 10; 10
401; "wait"; 440; 441; 1; 5
402; "drive"; 441; 442; 7; 7
403; "wait"; 442; 443; 1; 5
404; "drive"; 443; 444; 10; 10
405; "wait"; 444; 445; 2; 5
406; "drive"; 445; 446; 11; 11
407; "wait"; 446; 447; 1; 5
408; "drive"; 447; 448; 20; 20
409; "drive"; 449; 450; 10; 10
410; "wait"; 450; 451; 1; 5
411; "drive"; 451; 452; 7; 7
412; "wait"; 452; 453; 1; 5
413; "drive"; 453; 454; 10; 10
414; "wait"; 454; 455; 2; 5
415; "drive"; 455; 456; 11; 11
416; "wait"; 456; 457; 1; 5
417; "drive"; 457; 458; 20; 20
418; "drive"; 459; 460; 8; 8
419; "wait"; 460; 461; 1; 5
420; "drive"; 461; 462; 17; 17
421; "drive"; 463; 464; 8; 8
422; "wait"; 464; 465; 1; 5
423; "drive"; 465; 466; 17; 17
424; "drive"; 467; 468; 8; 8
425; "wait"; 468; 469; 1; 5
426; "drive"; 469; 470; 17; 17
427; "drive"; 471; 472; 8; 8
428; "wait"; 472; 473; 1; 5
429; "drive"; 473; 474; 17; 17
430; "drive"; 475; 476; 18; 18
431; "wait"; 476; 477; 1; 5
432; "drive"; 477; 478; 32; 32
433; "wait"; 478; 479; 2; 5
434; "drive"; 479; 480; 13; 13
435; "wait"; 480; 481; 2; 5
436; "drive"; 481; 482; 9; 9
437; "drive"; 483; 484; 7; 7
438; "wait"; 484; 485; 2; 5
439; "drive"; 485; 486; 26; 27
440; "wait"; 486; 487; 0; 5
441; "drive"; 487; 488; 9; 11
442; "wait"; 488; 489; 0; 5
443; "drive"; 489; 490; 18; 20
444; "wait"; 490; 491; 2; 10
445; "drive"; 491; 492; 26; 26
446; "wait"; 492; 493; 2; 5
447; "drive"; 493; 494; 16; 16
448; "wait"; 494; 495; 1; 5
449; "drive"; 495; 496; 11; 11
450; "drive"; 497; 498; 6; 6
451; "wait"; 498; 499; 2; 5
452; "drive"; 499; 500; 14; 14
453; "wait"; 500; 501; 1; 5
454; "drive"; 501; 502; 10; 10
455; "wait"; 502; 503; 1; 5
456; "drive"; 503; 504; 13; 13
457; "wait"; 504; 505; 2; 5
458; "drive"; 505; 506; 10; 10
459; "wait"; 506; 507; 1; 5
460; "drive"; 507; 508; 9; 9
461; "wait"; 508; 509; 1; 5
462; "drive"; 509; 510; 10; 10
463; "wait"; 510; 511; 1; 5
464; "drive"; 511; 512; 5; 5
465; "wait"; 512; 513; 2; 5
466; "drive"; 513; 514; 15; 15
467; "wait"; 514; 515; 2; 5
468; "drive"; 515; 516; 37; 37
469; "wait"; 516; 517; 2; 5
470; "drive"; 517; 518; 7; 7
471; "drive"; 519; 520; 6; 6
472; "wait"; 520; 521; 2; 5
473; "drive"; 521; 522; 14; 14
474; "wait"; 522; 523; 1; 5
475; "drive"; 523; 524; 10; 10
476; "wait"; 524; 525; 1; 5
477; "drive"; 525; 526; 13; 13
478; "wait"; 526; 527; 2; 5
479; "drive"; 527; 528; 10; 10
480; "wait"; 528; 529; 1; 5
481; "drive"; 529; 530; 9; 9
482; "wait"; 530; 531; 1; 5
483; "drive"; 531; 532; 10; 10
484; "wait"; 532; 533; 1; 5
485; "drive"; 533; 534; 5; 5
486; "wait"; 534; 535; 2; 5
487; "drive"; 535; 536; 15; 15
488; "wait"; 536; 537; 2; 5
489; "drive"; 537; 538; 37; 37
490; "wait"; 538; 539; 2; 5
491; "drive"; 539; 540; 7; 7
492; "drive"; 541; 542; 6; 6
493; "wait"; 542; 543; 2; 5
494; "drive"; 543; 544; 9; 9
495; "wait"; 544; 545; 1; 5
496; "drive"; 545; 546; 7; 7
497; "wait"; 546; 547; 1; 5
498; "drive"; 547; 548; 9; 9
499; "wait"; 548; 549; 1; 5
500; "drive"; 549; 550; 13; 13
501; "wait"; 550; 551; 1; 5
502; "drive"; 551; 552; 17; 17
503; "wait"; 552; 553; 1; 5
504; "drive"; 553; 554; 10; 10
505; "wait"; 554; 555; 1; 5
506; "drive"; 555; 556; 6; 6
507; "wait"; 556; 557; 1; 5
508; "drive"; 557; 558; 15; 15
509; "wait"; 558; 559; 2; 9
510; "drive"; 559; 560; 11; 11
511; "wait"; 560; 561; 0; 5
512; "drive"; 561; 562; 16; 16
513; "wait"; 562; 563; 1; 5
514; "drive"; 563; 564; 15; 15
515; "wait"; 564; 565; 2; 5
516; "drive"; 565; 566; 7; 7
517; "drive"; 567; 568; 6; 6
518; "wait"; 568; 569; 2; 5
519; "drive"; 569; 570; 9; 9
520; "wait"; 570; 571; 1; 5
521; "drive"; 571; 572; 7; 7
522; "wait"; 572; 573; 1; 5
523; "drive"; 573; 574; 9; 9
524; "wait"; 574; 575; 1; 5
525; "drive"; 575; 576; 13; 13
526; "wait"; 576; 577; 1; 5
527; "drive"; 577; 578; 17; 17
528; "wait"; 578; 579; 1; 5
529; "drive"; 579; 580; 10; 10
530; "wait"; 580; 581; 1; 5
531; "drive"; 581; 582; 6; 6
532; "wait"; 582; 583; 1; 5
533; "drive"; 583; 584; 15; 15
534; "wait"; 584; 585; 2; 9
535; "drive"; 585; 586; 11; 11
536; "wait"; 586; 587; 0; 5
537; "drive"; 587; 588; 16; 16
538; "wait"; 588; 589; 1; 5
539; "drive"; 589; 590; 15; 15
540; "wait"; 590; 591; 2; 5
541; "drive"; 591; 592; 7; 7
542; "drive"; 593; 594; 7; 7
543; "wait"; 594; 595; 2; 5
544; "drive"; 595; 596; 26; 26
545; "wait"; 596; 597; 0; 5
546; "drive"; 597; 598; 11; 11
547; "wait"; 598; 599; 0; 5
548; "drive"; 599; 600; 20; 20
549; "wait"; 600; 601; 2; 8
550; "drive"; 601; 602; 56; 56
551; "wait"; 602; 603; 2; 7
552; "drive"; 603; 604; 9; 9
553; "wait"; 604; 605; 2; 5
554; "drive"; 605; 606; 13; 13
555; "wait"; 606; 607; 2; 5
556; "drive"; 607; 608; 10; 10
557; "wait"; 608; 609; 1; 5
558; "drive"; 609; 610; 11; 11
559; "wait"; 610; 611; 2; 5
560; "drive"; 611; 612; 10; 10
561; "wait"; 612; 613; 1; 5
562; "drive"; 613; 614; 6; 6
563; "drive"; 615; 616; 7; 7
564; "wait"; 616; 617; 2; 5
565; "drive"; 617; 618; 26; 26
566; "wait"; 618; 619; 0; 5
567; "drive"; 619; 620; 11; 11
568; "wait"; 620; 621; 0; 5
569; "drive"; 621; 622; 20; 20
570; "wait"; 622; 623; 2; 8
571; "drive"; 623; 624; 56; 56
572; "wait"; 624; 625; 2; 7
573; "drive"; 625; 626; 9; 9
574; "wait"; 626; 627; 2; 5
575; "drive"; 627; 628; 13; 13
576; "wait"; 628; 629; 2; 5
577; "drive"; 629; 630; 10; 10
578; "wait"; 630; 631; 1; 5
579; "drive"; 631; 632; 11; 11
580; "wait"; 632; 633; 2; 5
581; "drive"; 633; 634; 10; 10
582; "wait"; 634; 635; 1; 5
583; "drive"; 635; 636; 6; 6
584; "drive"; 637; 638; 8; 8
585; "wait"; 638; 639; 2; 5
586; "drive"; 639; 640; 8; 8
587; "wait"; 640; 641; 1; 5
588; "drive"; 641; 642; 55; 57
589; "wait"; 642; 643; 2; 12
590; "drive"; 643; 644; 54; 54
591; "drive"; 645; 646; 8; 8
592; "wait"; 646; 647; 2; 5
593; "drive"; 647; 648; 8; 8
594; "wait"; 648; 649; 1; 5
595; "drive"; 649; 650; 55; 57
596; "wait"; 650; 651; 2; 12
597; "drive"; 651; 652; 54; 54
598; "drive"; 653; 654; 8; 8
599; "wait"; 654; 655; 2; 5
600; "drive"; 655; 656; 8; 8
601; "wait"; 656; 657; 1; 5
602; "drive"; 657; 658; 55; 57
603; "wait"; 658; 659; 2; 12
604; "drive"; 659; 660; 54; 54
605; "drive"; 661; 662; 8; 8
606; "wait"; 662; 663; 2; 5
607; "drive"; 663; 664; 8; 8
608; "wait"; 664; 665; 1; 5
609; "drive"; 665; 666; 55; 57
610; "wait"; 666; 667; 2; 12
611; "drive"; 667; 668; 54; 54
612; "drive"; 669; 670; 8; 8
613; "wait"; 670; 671; 1; 5
614; "drive"; 671; 672; 5; 5
615; "wait"; 672; 673; 0; 5
616; "drive"; 673; 674; 5; 5
617; "wait"; 674; 675; 0; 5
618; "drive"; 675; 676; 8; 8
619; "wait"; 676; 677; 0; 5
620; "drive"; 677; 678; 15; 15
621; "wait"; 678; 679; 2; 5
622; "drive"; 679; 680; 9; 9
623; "wait"; 680; 681; 1; 5
624; "drive"; 681; 682; 7; 7
625; "wait"; 682; 683; 2; 5
626; "drive"; 683; 684; 8; 8
627; "wait"; 684; 685; 2; 5
628; "drive"; 685; 686; 9; 9
629; "wait"; 686; 687; 1; 5
630; "drive"; 687; 688; 9; 9
631; "wait"; 688; 689; 2; 5
632; "drive"; 689; 690; 5; 5
633; "wait"; 690; 691; 1; 5
634; "drive"; 691; 692; 29; 29
635; "wait"; 692; 693; 2; 5
636; "drive"; 693; 694; 14; 14
637; "wait"; 694; 695; 1; 5
638; "drive"; 695; 696; 5; 5
639; "wait"; 696; 697; 1; 5
640; "drive"; 697; 698; 11; 11
641; "wait"; 698; 699; 1; 5
642; "drive"; 699; 700; 15; 15
643; "drive"; 701; 702; 8; 8
644; "wait"; 702; 703; 1; 5
645; "drive"; 703; 704; 5; 5
646; "wait"; 704; 705; 0; 5
647; "drive"; 705; 706; 5; 5
648; "wait"; 706; 707; 0; 5
649; "drive"; 707; 708; 8; 8
650; "wait"; 708; 709; 0; 5
651; "drive"; 709; 710; 15; 15
652; "wait"; 710; 711; 2; 5
653; "drive"; 711; 712; 9; 9
654; "wait"; 712; 713; 1; 5
655; "drive"; 713; 714; 7; 7
656; "wait"; 714; 715; 2; 5
657; "drive"; 715; 716; 8; 8
658; "wait"; 716; 717; 2; 5
659; "drive"; 717; 718; 9; 9
660; "wait"; 718; 719; 1; 5
661; "drive"; 719; 720; 9; 9
662; "wait"; 720; 721; 2; 5
663; "drive"; 721; 722; 5; 5
664; "wait"; 722; 723; 1; 5
665; "drive"; 723; 724; 29; 29
666; "wait"; 724; 725; 2; 5
667; "drive"; 725; 726; 14; 14
668; "wait"; 726; 727; 1; 5
669; "drive"; 727; 728; 5; 5
670; "wait"; 728; 729; 1; 5
671; "drive"; 729; 730; 11; 11
672; "wait"; 730; 731; 1; 5
673; "drive"; 731; 732; 15; 15
674; "drive"; 733; 734; 10; 10
675; "wait"; 734; 735; 0; 5
676; "drive"; 735; 736; 19; 19
677; "wait"; 736; 737; 2; 5
678; "drive"; 737; 738; 15; 15
679; "wait"; 738; 739; 2; 5
680; "drive"; 739; 740; 14; 14
681; "wait"; 740; 741; 1; 5
682; "drive"; 741; 742; 12; 12
683; "wait"; 742; 743; 1; 5
684; "drive"; 743; 744; 17; 17
685; "wait"; 744; 745; 1; 5
686; "drive"; 745; 746; 6; 6
687; "wait"; 746; 747; 0; 5
688; "drive"; 747; 748; 7; 7
689; "wait"; 748; 749; 2; 5
690; "drive"; 749; 750; 3; 3
691; "wait"; 750; 751; 1; 5
692; "drive"; 751; 752; 7; 7
693; "drive"; 753; 754; 10; 10
694; "wait"; 754; 755; 0; 5
695; "drive"; 755; 756; 19; 19
696; "wait"; 756; 757; 2; 5
697; "drive"; 757; 758; 15; 15
698; "wait"; 758; 759; 2; 5
699; "drive"; 759; 760; 14; 14
700; "wait"; 760; 761; 1; 5
701; "drive"; 761; 762; 12; 12
702; "wait"; 762; 763; 1; 5
703; "drive"; 763; 764; 17; 17
704; "wait"; 764; 765; 1; 5
705; "drive"; 765; 766; 6; 6
706; "wait"; 766; 767; 0; 5
707; "drive"; 767; 768; 7; 7
708; "wait"; 768; 769; 2; 5
709; "drive"; 769; 770; 3; 3
710; "wait"; 770; 771; 1; 5
711; "drive"; 771; 772; 7; 7
712; "drive"; 773; 774; 10; 10
713; "wait"; 774; 775; 0; 5
714; "drive"; 775; 776; 19; 19
715; "wait"; 776; 777; 2; 5
716; "drive"; 777; 778; 15; 15
717; "wait"; 778; 779; 2; 5
718; "drive"; 779; 780; 14; 14
719; "wait"; 780; 781; 1; 5
720; "drive"; 781; 782; 12; 12
721; "wait"; 782; 783; 1; 5
722; "drive"; 783; 784; 17; 17
723; "wait"; 784; 785; 1; 5
724; "drive"; 785; 786; 13; 13
725; "wait"; 786; 787; 2; 5
726; "drive"; 787; 788; 3; 3
727; "wait"; 788; 789; 1; 5
728; "drive"; 789; 790; 7; 7
729; "drive"; 791; 792; 10; 10
730; "wait"; 792; 793; 0; 5
731; "drive"; 793; 794; 19; 19
732; "wait"; 794; 795; 2; 5
733; "drive"; 795; 796; 15; 15
